Gene_Name,Expression_Score
SLC36A4,98.6666666667
CKS1B,100.0
SLC36A1,47.0
LOC100133089,0.0
ST13,100.0
C16orf63,100.0
LOC100130278,0.0
LOC494558,18.0
ERICH1,50.6666666667
ARTN,1.77777777778
ART1,25.3333333333
ART3,12.6666666667
ART5,0.0
ART4,51.3333333333
HERC2P7,5.66666666667
SPTLC1,95.3333333333
TCEA2,33.1111111111
TCEA3,98.6666666667
TCEA1,60.6666666667
MGC57346,65.3333333333
FCGR3A /// FCGR3B,94.6666666667
COX4I1,84.8888888889
BFAR,100.0
MGC70870,97.3333333333
HDGFL1,48.0
CRTAM,63.3333333333
EDA,21.7777777778
LAPTM4B,100.0
OR2F1 /// OR2F2,1.33333333333
PIPOX,90.6666666667
CCDC116,0.0
CADPS2,100.0
CCDC114,16.6666666667
RLF,100.0
CCDC112,95.3333333333
MCF2L,25.5
CCDC110,11.3333333333
CCDC111,100.0
LEO1,100.0
LOC100289632,26.6666666667
ATP1A3,0.0
ATP1A2,27.0
ATP1A1,100.0
NAG18,8.0
MGRN1,85.3333333333
CRTAP,97.6
SPHK2,41.6666666667
SPHK1,77.3333333333
DPT,87.3333333333
BPESC1,1.33333333333
IPO11,59.7777777778
CUEDC2,100.0
HPYR1,15.0
CPEB4,100.0
CPEB1,44.0
CPEB3,56.2222222222
CPEB2,74.4444444444
BEGAIN,6.66666666667
RBMXL2,3.33333333333
ABAT,62.4444444444
ZNF780A,70.0
ZNF780B,56.8333333333
LOC400604,40.0
FRG1,100.0
TP53TG5,0.0
RHEBL1,16.6666666667
ZNF41,50.8888888889
IFT80,74.1666666667
TP53TG1,99.5555555556
IFT88,100.0
C11orf92,70.6666666667
LOC780529,6.0
POU5F1B,6.66666666667
LOC474358,0.0
C20orf144,0.0
XPA,60.3333333333
KISS1R,88.0
MCM10,61.5555555556
SP4,66.3333333333
LOC284861,18.6666666667
LOC439949,63.3333333333
IGFBPL1,32.6666666667
ZNF221,0.0
C11orf54,86.2222222222
LOC100128025,0.0
ATG4A,100.0
THUMPD2,100.0
CDH22,35.3333333333
SP6,50.0
ATG4D,94.6666666667
PHOX2A,6.0
PHOX2B,1.33333333333
FAM193A,94.6666666667
LRGUK,62.0
UPK2,22.0
CFH,98.6666666667
CFI,99.3333333333
FBXO3,60.0
PNP,100.0
ANKFY1,52.1666666667
C1orf14,0.0
CFB,49.3333333333
OR5P3,0.0
OR5P2,6.66666666667
LHPP,83.3333333333
HKR1,32.4444444444
CREBBP,34.3333333333
PNN,95.3333333333
ATP6V0E1,90.4444444444
ATP6V0E2,100.0
CFP,0.0
AAAS,88.6666666667
ALDH1A3,98.0
HAMP,82.0
EDC3,92.3333333333
SIDT1,96.0
LOC284219,78.6666666667
CSK,100.0
ABCA2,29.3333333333
ZBTB25,89.3333333333
KIF2C,93.3333333333
UQCRFS1,100.0
MLLT3,99.3333333333
LOC283079,0.0
SIX4,53.6666666667
SIX5,34.6666666667
SIX6,3.33333333333
SAGE1,3.33333333333
SIX1,47.5555555556
ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// C21orf81 /// LOC100132733 /// LOC284232,98.0
RAB40B,66.6666666667
WASH3P,100.0
CNPY4,54.6666666667
CNPY3,94.5
CNPY2,86.8333333333
CNPY1,10.6666666667
PLCZ1,5.33333333333
TINAGL1,8.66666666667
COPG2,50.3333333333
KNDC1,13.7777777778
HMG20A,100.0
HMG20B,66.6666666667
PHOSPHO2,66.0
AAGAB,66.0
C4orf19,68.6666666667
C3orf79,8.0
C3orf78,38.5333333333
C4orf14,99.3333333333
C3orf75,66.8333333333
C4orf17,0.0
LOC144776,5.33333333333
C3orf71,21.3333333333
C3orf70,67.3333333333
EME1,69.0
SHOX2,11.5555555556
CIRBP,92.1333333333
ZFP82,96.6666666667
CHFR,94.0
SCYL1,49.6666666667
EFHA1,100.0
C9orf107,2.66666666667
C2orf67 /// RPE,24.6666666667
EFHA2,90.0
AAA1,0.666666666667
FAM81A,8.66666666667
NUDT9P1,6.0
SYPL2,32.6666666667
NPR3,49.6666666667
SLCO1C1,32.6666666667
RFX4,1.66666666667
RFX5,100.0
RFX6,8.0
RFX7,100.0
NRXN3,25.6666666667
RFX1,50.0
NRXN1,7.33333333333
RFX3,74.0
YDJC,94.6666666667
TIGD2,100.0
APC,68.2666666667
TMEM179B,100.0
LOC100130264,52.0
UQCRC2,99.5555555556
XPNPEP1,44.5333333333
XPNPEP2,8.0
UQCRC1,100.0
RUNDC2A,36.6666666667
GGCX,99.3333333333
PAPLN,51.3333333333
RETSAT,100.0
ZNF57,98.0
KHDRBS1,95.5555555556
RUNDC2C,58.6666666667
KHDRBS3,78.0
GGCT,100.0
NLRP12,5.33333333333
STMN4,5.66666666667
LOC286161,67.3333333333
LOC283403,1.33333333333
LOC283404,7.33333333333
DYNC1I2,100.0
ZNHIT6,93.0
MON2,83.6666666667
LHCGR,1.33333333333
FCF1 /// LOC100507758 /// MAPK1IP1L,100.0
OR1Q1,0.0
CCT6P1 /// CCT6P3,98.6666666667
TRPA1,2.33333333333
C21orf49,41.3333333333
C11orf2,100.0
DPYSL4,6.44444444444
TARS2,100.0
DPYSL2,100.0
DPYSL3,83.3333333333
PTPRCAP,83.3333333333
C11orf9,19.5555555556
KRTAP10-12,0.0
KRTAP10-11,2.0
IGFBP2,98.6666666667
IGFBP3,100.0
LRFN1,32.6666666667
IGFBP1,6.66666666667
IGFBP6,96.0
IGFBP7,90.4444444444
IGFBP4,98.6666666667
IGFBP5,63.7777777778
CYP1B1,76.0
CYP2R1,88.6666666667
CKLF,97.7777777778
ZNF193,87.3333333333
C15orf26,6.0
C15orf27,80.0
C15orf24,74.3333333333
GJA3,13.6666666667
GJA4,58.6666666667
GJA5,49.3333333333
C15orf21,75.3333333333
GJA8,0.0
PMS2P1,100.0
CHERP,35.3333333333
PMS2P3,75.0
PMS2P4,3.33333333333
PMS2P5,100.0
C15orf28,73.3333333333
C15orf29,97.8333333333
LOC100287241,4.66666666667
OR4D1,1.66666666667
KDM3B,99.3333333333
ZNF117,87.5
ZNF114,58.0
LOC100287249,0.0
LOC401387,0.0
SEZ6L,3.0
LOC100505650,27.0
PPP6R3,98.6666666667
TMC4,100.0
NSL1,69.6666666667
TMC6,61.7777777778
TMC7,16.6666666667
APIP,82.6666666667
TMC1,1.33333333333
TMC2,0.0
WASF1,85.3333333333
EIF2B4,100.0
EIF2B5,75.3333333333
EIF2B2,100.0
KIAA1257 /// LOC100132731,0.0
EIF2B1,100.0
PRKAR2A,80.8
PRKAR2B,98.6666666667
C20orf57,17.3333333333
MAGT1,100.0
C20orf54,27.0
TXNIP,100.0
S1PR4,1.33333333333
MLF1,96.6666666667
QPRT,98.6666666667
IFT140,19.7777777778
MLF2,100.0
TMEM14C,100.0
TMEM14B,100.0
TMEM14A,100.0
LOC100510453,0.0
LOC100287426,33.3333333333
RSPH3,50.6666666667
RSPH1,76.6666666667
IFI16,100.0
RTEL1,24.1666666667
LOC100287421,5.33333333333
LOC440944,88.3333333333
C9orf128,1.33333333333
MYT1L,6.0
SERPINC1,2.33333333333
C9orf125,59.3333333333
C9orf123,97.0
KIAA1267,100.0
FANCB,11.6666666667
CFHR2,84.6666666667
CFHR3,15.0
CLIC4,100.0
CLIC5,48.8
NLGN2,17.1111111111
OR2K2,0.0
CFHR4,17.3333333333
PHACTR2,98.9333333333
KRTAP2-1,0.0
CXorf1,0.0
KIAA0020,56.3333333333
LOC286467,34.0
RIT2,3.33333333333
TMEM147,100.0
ASGR1,25.3333333333
TMEM145,14.6666666667
TMEM144,67.0
TMEM143,39.6666666667
RIT1,99.4666666667
TMEM141,94.6666666667
FOXL1,2.66666666667
SF1,66.6666666667
PCDHA6,0.0
LOC283761,9.33333333333
TMEM149,100.0
TMEM148,5.33333333333
PRPSAP1,59.6666666667
API5,99.2
MAP3K8,97.3333333333
PRDM8,0.0
SUGP2,94.9333333333
CDKN2AIPNL,67.3333333333
LOC574538,2.66666666667
UBE2NL,64.0
LOC100291393 /// SHC2,66.0
SECISBP2L,100.0
HAS2,88.3333333333
KIAA1199,49.0
HLA-DPA1,98.2222222222
PKD1P1,97.3333333333
FAM32A,100.0
HAS3,45.6666666667
KIAA1191,100.0
METTL1,100.0
ALOX12P2,25.3333333333
FER1L4,36.0
FER1L5,28.6666666667
FLJ30064,6.66666666667
CD99,100.0
LOC100506762,8.66666666667
C19orf22,100.0
C19orf23,1.33333333333
ZMAT3,92.2666666667
C19orf21,68.0
C19orf26,0.444444444444
ZMAT4,5.33333333333
C19orf24,95.3333333333
C19orf25,75.0
MYBL1,48.6666666667
SMOC2,71.6666666667
NR1D2,100.0
MYBL2,32.6666666667
ITGB1BP1,65.5555555556
ITGB1BP3,16.6666666667
ITGB1BP2,3.33333333333
LOC100506675,0.0
ZNF7,36.6666666667
LOC100506677,24.6666666667
LOC100506676,49.0
ZNF2,100.0
ZNF3,29.0
CTCFL,14.0
CCDC82,57.0
UFSP1,0.0
ZNF8,7.33333333333
C11orf17,99.6666666667
C11orf16,2.66666666667
ZAP70,61.6666666667
RPS14P3,100.0
C11orf10,100.0
LOC284294,6.66666666667
UFSP2,100.0
LOC100288224,9.66666666667
OGFR,61.8333333333
EPM2AIP1,98.0
CDC5L,74.0
RAC2,96.3333333333
RAC3,40.0
LOC200772,8.0
RAC1,86.8333333333
VCL,53.3333333333
LOC81691,22.3333333333
CPLX2,7.66666666667
LILRB4,53.0
AP2A1,26.5
SEPT7L,64.6666666667
LOC389332,1.33333333333
CADPS,8.53333333333
MRPS18C,53.5555555556
PBX2,79.6666666667
PBX3,52.0
PBX1,79.7777777778
AIRE,1.33333333333
BNIP3L,100.0
NSUN3,43.5555555556
NSUN2,100.0
NSUN5,100.0
NSUN4,94.5
NSUN7,48.0
NSUN6,71.7777777778
TUBG1,100.0
TUBG2,95.3333333333
FAM71F1,10.3333333333
LOC284475,12.0
FAM71F2,9.33333333333
TARS,100.0
LOC146429,54.0
LY86,96.0
PTCH1,39.8333333333
TIMM44,89.3333333333
TUFM,57.3333333333
KRTAP5-2,0.0
DGAT2,39.3333333333
FAM108B1,63.3333333333
TBC1D1,42.8
PRKCSH,100.0
RAD9B,15.3333333333
RAD9A,96.0
ERGIC2,93.5
ERGIC3,50.0
MAMSTR,56.0
ERGIC1,86.6666666667
LOC100506266,64.0
LOC100506267,32.6666666667
CLEC14A,86.0
LOC386597,25.3333333333
B3GAT3,50.6666666667
MGC13053,29.3333333333
B3GAT1,3.33333333333
FAM66C,4.0
LOC100506268,46.0
CPPED1,92.6666666667
CCDC163P,31.0
UXT,100.0
LOC728537,19.3333333333
CALM2,50.0
CALM3,99.5555555556
TTC30B,97.0
CALM1,89.3333333333
LOC100509212,0.0
LOC100130078,0.0
GSDMC,72.0
GSDMD,94.6666666667
UPK1A,6.66666666667
UPK1B,17.0
DLGAP2,0.0
DLGAP3,1.0
DLGAP1,12.6666666667
DLGAP4,79.3333333333
DLGAP5,97.3333333333
BRDT,18.6666666667
HRH2,18.6666666667
MBNL2,79.6
MBNL3,73.7777777778
NPEPL1,68.6666666667
HRH3,2.33333333333
SYN1,0.0
CDX2,4.0
OIP5,80.6666666667
CLCN3,99.3333333333
CLCN2,29.3333333333
CLCN1,8.0
FBXL16,41.3333333333
CLCN7,43.5555555556
CLCN6,47.3333333333
CLCN5,86.6666666667
CLCN4,17.7333333333
FBXL19,37.3333333333
BRD8,52.8888888889
BRD9,100.0
FAM116B,31.1111111111
BRD4,64.1111111111
BRD7,76.4444444444
OR10D3,0.0
BRD2,100.0
BRD3,69.3333333333
DNAJA2,100.0
DNAJA3,100.0
PTPN18,89.1111111111
TGFBR3,99.0
DNAJA4,70.8333333333
LYRM2,76.5333333333
PTPN13,96.0
PTPN12,67.1111111111
PTPN11,62.1111111111
LOC84931,0.0
LOC100192379,0.0
LOC100192378,8.33333333333
MYCBP,96.8888888889
PTPN14,86.6666666667
GALR3,0.0
GALR2,1.33333333333
MAGEL2,3.33333333333
UTRN,93.3333333333
LYAR,96.3333333333
PCDH20,29.0
C8orf30A,84.3333333333
CH25H,92.0
C16orf74,6.66666666667
MRPL24,95.3333333333
MRPL27,100.0
CSF2RA,62.6666666667
DMD,49.5
MRPL20,35.1111111111
MRPL23,50.0
9-Sep,100.0
LOC100506843,0.666666666667
GAB4,0.0
LRFN4,35.3333333333
GAB2,44.0
MRPL28,97.3333333333
LOC100506844,98.0
GAB1,60.0
HABP4,52.3333333333
C2orf80,4.66666666667
C2orf83,0.0
C2orf82,8.0
C2orf85,0.0
ZNF852,2.0
NPTX1,48.6666666667
C2orf86,98.6666666667
C2orf89,60.6666666667
ZSCAN4,6.66666666667
NDRG2,48.8888888889
NDRG3,99.1111111111
ZSCAN1,1.33333333333
ZSCAN2,54.0
SRSF5,94.0
SRSF4,96.0
SRSF7,75.0
SRSF6,98.6666666667
SRSF1,82.1333333333
CHD1L,97.3333333333
SRSF3,99.0
SRSF2,100.0
LOC100131655,0.666666666667
LOC285965,23.3333333333
LOC643659,0.0
SRSF8,98.6666666667
RNF130,94.3333333333
RAPH1,98.6666666667
VIL1,42.8333333333
RNF133,0.0
HLA-DQB1,69.2
MSMB,67.3333333333
LOC100129029,24.0
HLA-DQB2,90.0
RNF138,99.3333333333
RNF139,100.0
CDK5,99.3333333333
CISD2,79.5555555556
CISD3,96.3333333333
SPRR2B,25.3333333333
CISD1,100.0
CLNS1A,95.0
CDK6,71.0476190476
LOC339593,0.0
TSHZ2,49.3333333333
TSHZ3,73.3333333333
TSHZ1,100.0
MRC2,62.6666666667
FOXS1,40.0
VILL,14.0
ZNF581,98.6666666667
CDK8,100.0
ZNF583,39.3333333333
ZNF582,44.6666666667
TIPARP,100.0
ZNF584,8.0
ZNF587,78.9333333333
ZNF586,71.3333333333
ZNF589,55.0
CSNK2A1 /// NFE2L2,95.3333333333
MCHR2,2.66666666667
BCL9L,96.3333333333
CHST9,15.0
CHST8,11.3333333333
LPAR6,52.0
PSD,3.33333333333
CAMKK2,64.5
CAMKK1,49.3333333333
HMGB3P1,88.6666666667
NHEG1,37.3333333333
LOC84856,1.33333333333
LOC100506406,0.0
SPAG1,98.6666666667
HAPLN2,0.0
LOC441046,20.0
HNRNPC /// HNRNPCL1 /// LOC440563 /// LOC649330,24.6666666667
HP /// HPR,75.3333333333
MTRF1L,61.8333333333
MYO1H,12.0
MYO1G,55.3333333333
MYO1F,96.0
MYO1E,96.0
MYO1D,61.3333333333
MYO1C,99.7777777778
MYO1B,98.8888888889
MYO1A,30.6666666667
CHST1,68.6666666667
LOC646214,90.6666666667
LCN6,0.0
LOC729307,10.0
LOC100128640,4.0
RPL36AL,100.0
CENPM,77.3333333333
CHMP7,98.6666666667
CHMP6,97.3333333333
CHMP5,100.0
PGBD4,69.3333333333
PGBD5,56.0
PGBD2,52.3333333333
CTPS2,100.0
PGBD1,76.0
TACR3,1.33333333333
LY6G6C,5.33333333333
ZER1,25.6666666667
LY6G6E,4.0
HOXA11,2.66666666667
HOXA10,37.0
PPIAL4A,15.3333333333
BPI,1.33333333333
KRTAP19-1,11.3333333333
LOC283875,1.33333333333
PPY,2.0
FAM188A,87.3333333333
FAM160B1,51.3333333333
FAM160B2,36.0
ATAT1,70.0
NUBP2,92.0
CDA,49.3333333333
TSSK6,0.0
SRC,11.619047619
TSSK4,0.0
GALNTL6,34.6666666667
ZNF321,15.6666666667
TSSK3,0.0
ZNF323,98.0
GALNTL2,60.4444444444
LOC100134445 /// WASH1 /// WASH2P /// WASH3P /// WASH5P /// WASH7P,0.666666666667
LOC100506462,12.0
SRI,99.3333333333
ZNF329,98.6666666667
SRL,0.0
SRM,100.0
SRR,94.0
ADCY8,0.0
LGALS9,100.0
LGALS8,98.7777777778
LGALS3,98.0
LGALS2,58.0
LGALS1,100.0
SRY,0.0
LGALS4,40.6666666667
C6orf170,77.6666666667
NMU,82.6666666667
AKIRIN2,83.5555555556
AKIRIN1,100.0
EIF2AK1,80.6666666667
EIF2AK3,51.0
KRTAP11-1,0.0
TDG,100.0
EIF2AK4,76.0
CKS2,100.0
ADCY9,37.5555555556
HN1,100.0
LOC388942,0.0
NMB,99.3333333333
LOC388946,0.0
MYO19,88.8888888889
FAM136A,100.0
MYO16,10.3333333333
LOC388948,0.0
TRNT1,98.4444444444
ASAP1,95.3333333333
ASAP2,98.6666666667
ASAP3,62.3333333333
OCRL,85.3333333333
ENTPD6,55.3333333333
PLAUR,95.7777777778
FLJ34208,40.6666666667
LRRC27,41.1666666667
KIAA1524,65.3333333333
LOC284669,0.0
MPDU1,49.0
KIAA1033,100.0
LOX,68.8888888889
LPGAT1,100.0
LOC284661,0.0
PRKY,50.0
LRRC29,0.0
LRRC28,49.6666666667
TIMM17B,48.3333333333
GCNT4,0.0
GCNT7,42.6666666667
TIMM17A,60.0
GCNT1,83.6666666667
C14orf139,96.6666666667
GCNT3,86.6666666667
GCNT2,77.3333333333
C14orf135,69.0
C9orf119,100.0
C14orf132,56.0
LPCAT4,39.7333333333
LPCAT2,71.8333333333
LPCAT3,52.6666666667
LPCAT1,100.0
ALOX5,64.6666666667
MID1IP1,100.0
VHL,56.3333333333
PIGA,100.0
PIGB,100.0
PIGC,78.4444444444
PIGF,100.0
PIGG,30.6666666667
PIGH,100.0
PIGK,67.7777777778
PIGL,71.6666666667
PIGM,96.0
PIGN,93.0
PIGO,52.8888888889
TMEM194A,91.6666666667
PIGQ,35.6666666667
PIGR,69.6666666667
PIGS,99.3333333333
PIGT,74.6666666667
PIGU,100.0
PIGV,66.6666666667
PIGW,100.0
PIGX,67.5555555556
LOC400590,12.6666666667
PIGZ,77.3333333333
TMEM80,95.3333333333
TAS2R41,0.0
TAGLN,89.7777777778
ANKLE1,8.0
SERPINB9,74.8888888889
TAX1BP3,100.0
ALPP,2.66666666667
RHPN1,20.6666666667
CHST11,98.0
OLR1,97.3333333333
CSNK1G3,66.6666666667
SRRM1,99.3333333333
FAM134C,100.0
SRRM3,21.0
SRRM2,82.1666666667
SRRM5,4.0
SRRM4,0.0
FAM134B,73.0
PDK1,90.3333333333
RGL1,100.0
PDK3,86.1333333333
PDK2,32.3333333333
EBP,69.7777777778
PDK4,75.3333333333
ROD1,99.2
MYO5C,100.0
ALPI,0.0
ZNF292,71.5555555556
AMELY,0.0
SEC61A1,100.0
SEC61A2,63.1111111111
ALPL,56.0
PTGS2,92.3333333333
PTGS1,69.8333333333
TM2D3,100.0
LOC100287163 /// ZNF717,0.0
NUMB,98.3333333333
LOC284080,13.3333333333
LOC150992,5.33333333333
ADCK3,58.0
RAB9BP1,4.0
OGFRL1,97.7777777778
PUF60,100.0
ZFAND3,100.0
ZFAND1,100.0
MYO5B,66.6666666667
FABP5,100.0
PECI,100.0
SUPT3H,100.0
LOC400622,16.6666666667
LOC400620,0.0
SLC39A12,6.66666666667
SLC39A13,98.0
SLC39A10,100.0
SLC39A11,100.0
LOC96610,95.1666666667
SLC39A14,50.8888888889
SCN2B,2.44444444444
CEP120,95.6666666667
TTC28-AS,34.8888888889
EIF1AX,100.0
NTRK1,0.0
NTRK2,24.7777777778
NTRK3,22.5925925926
ARHGAP23,31.5
LRPAP1,99.3333333333
ARHGAP21,99.3333333333
ARHGAP20,40.0
ARHGAP27,54.6666666667
ARHGAP26,63.6666666667
ARHGAP25,58.0
EVI5,61.3333333333
D21S2088E,18.3333333333
NARFL,29.3333333333
ARHGAP29,72.0
ARHGAP28,26.8888888889
NFKBIL2,6.22222222222
LOC150197,26.0
TBX4,0.0
DDIT3,88.6666666667
DDIT4,100.0
DNAJC10,99.3333333333
LOC284889,4.0
RBFA,86.6666666667
COL19A1,0.0
LOC100128002,0.0
LOC100128003,13.0
AFTPH,100.0
MYSM1,90.8888888889
ATG2A,100.0
ATG2B,72.8333333333
PPPDE1,72.5333333333
PPPDE2,100.0
BMP7,16.0
BMP6,11.5555555556
BMP5,71.0
BMP4,1.33333333333
BMP3,36.0
GPR6,2.0
BMP1,14.7619047619
GPR4,31.6666666667
C1orf31,86.6666666667
FEM1B,94.0
C1orf35,89.3333333333
ASF1A,100.0
TERF2,40.5
TERF1,100.0
GOLGA8H,100.0
RPA2,100.0
FOXM1,82.6666666667
DNAJC19,100.0
GOLGA8A,94.6666666667
GOLGA8B,98.6666666667
RASSF9,63.3333333333
RASSF8,61.3333333333
ZNF519,68.6666666667
RASSF1,40.0
PTOV1,50.0
PTPMT1,93.5555555556
RASSF2,98.6666666667
RASSF5,80.0
RASSF4,58.6666666667
RASSF7,93.6666666667
RASSF6,94.2222222222
LPPR5,1.66666666667
LPPR4,70.6666666667
NHP2,100.0
LPPR2,39.6666666667
LPPR1,36.6666666667
SPRY2,100.0
RSAD2,82.6666666667
RSAD1,100.0
LOC100289210,27.3333333333
CHD1,100.0
NFS1,95.6666666667
CHD3,89.0
CHD2,82.5833333333
CHD5,0.0
CHD4,97.1111111111
CHD7,58.1666666667
CHD6,68.1666666667
CHD9,95.4166666667
CHD8,100.0
HESX1,6.66666666667
CAP1,100.0
CAP2,94.6666666667
LOC283050,68.0
LOC100507816 /// ZNF814,90.0
NPC2,100.0
NPC1,82.0
SKIV2L,90.0
6-Mar,68.5333333333
PRR20A /// PRR20B /// PRR20C /// PRR20D /// PRR20E,6.0
EIF3I,100.0
TTC5,95.3333333333
TTC4,98.6666666667
TTC6,0.0
TTC1,100.0
IL4R,94.6666666667
TTC3,99.4285714286
PIKFYVE,62.8888888889
C3orf51,2.66666666667
PRKCE,20.5
C3orf52,87.3333333333
C3orf55,55.6666666667
TTC8,100.0
C3orf57,36.0
C3orf56,2.66666666667
FLJ45482,82.0
DYNC1LI2,75.0
TRPC1,80.8888888889
CHDH,38.0
EFHC1,92.6666666667
CAPG,100.0
TPRKB,100.0
ETHE1,100.0
PRDM16,33.6666666667
MPG,100.0
LOC389043,0.0
PRDM15,31.4666666667
PLSCR2,20.6666666667
PLSCR3,54.6666666667
PRDM10,50.0
PLSCR1,80.2222222222
ABCG8,0.0
MPO,5.66666666667
HNF4G,37.3333333333
AVP,0.0
ANXA8 /// ANXA8L1 /// ANXA8L2,50.6666666667
MPI,69.6666666667
MAP4K1,46.8888888889
PRKCZ,9.33333333333
SPC25,84.0
POLRMT,44.6666666667
RER1,78.6666666667
MPZ,19.3333333333
HIST1H3G,0.0
MCPH1,46.1333333333
KDM1A,94.3333333333
KDM1B,85.0
PLRG1,99.6666666667
LMAN2,51.0
FRG1 /// FRG1B,98.6666666667
TDO2,48.0
HIST1H3J,2.0
CAND2,30.3333333333
LOC286109,95.3333333333
GADL1,2.0
AMH,6.66666666667
MLX,87.6
HLX,58.0
QRSL1,81.8333333333
FCER1G,100.0
BTG4,1.33333333333
BTG3,75.6666666667
BTG2,90.3333333333
BTG1,78.8888888889
DNALI1,63.3333333333
SLA2,26.3333333333
DDX1,100.0
C4orf36,23.3333333333
C4orf37,46.6666666667
C4orf34,95.0
C4orf35,0.0
C4orf32,61.0
C4orf33,35.3333333333
C4orf31,97.3333333333
SRD5A3,97.1111111111
SRD5A2,34.0
SRD5A1,95.1111111111
CSPG4P1Y /// CSPG4P2Y,0.0
C4orf38,25.3333333333
C4orf39,52.0
HELLS,72.8
